Роля,Рэплікі,Найдаўжэйшая (знакі),Найдаўжэйшая (словы),Усяго знакаў,Усяго словаў
Паўлінка,166,865,200,11247,2576
Сцяпан,85,318,70,6533,1385
Адольф,79,153,35,3127,718
Пранцісь,57,193,40,4175,728
Альжбета,55,225,45,2848,651
Агата,38,195,44,2834,576
Якім,29,634,141,2944,659
Колькі галасоў,13,77,14,300,63
Адзін з гасцей,11,101,22,450,100
Музыка,7,79,20,263,61
Госць,4,93,19,157,35
Адна з гасцей,4,36,8,108,21
Адэлька,2,19,5,36,8
Другі музыка,2,85,19,110,24
Голас,2,18,7,34,12
Усе,1,16,2,16,2
Вінцусь,1,78,19,78,19
Адзін з музыкаў,1,48,13,48,13
Голас з-за акна,1,2,2,2,2
